symbol,name,type,region,
600621,华鑫股份,stock,sh,
688567,孚能科技,stock,sh,
688612,威迈斯,stock,sh,
605589,圣泉集团,stock,sh,
600248,陕建股份,stock,sh,
601777,力帆科技,stock,sh,
688027,国盾量子,stock,sh,
688037,芯源微,stock,sh,
600500,中化国际,stock,sh,
688177,百奥泰,stock,sh,
601828,美凯龙,stock,sh,
600452,涪陵电力,stock,sh,
603730,岱美股份,stock,sh,
688318,财富趋势,stock,sh,
601882,海天精工,stock,sh,
601137,博威合金,stock,sh,
600667,太极实业,stock,sh,
600481,双良节能,stock,sh,
688146,中船特气,stock,sh,
688443,智翔金泰,stock,sh,
600633,浙数文化,stock,sh,
600022,山东钢铁,stock,sh,
688336,三生国健,stock,sh,
688439,振华风光,stock,sh,
603317,天味食品,stock,sh,
688266,泽?制药,stock,sh,
600971,恒源煤电,stock,sh,
601900,南方传媒,stock,sh,
601952,苏垦农发,stock,sh,
688005,容百科技,stock,sh,
688778,厦钨新能,stock,sh,
601677,明泰铝业,stock,sh,
601519,大智慧,stock,sh,
603444,吉比特,stock,sh,
603327,福蓉科技,stock,sh,
688052,纳芯微,stock,sh,
600711,ST盛屯,stock,sh,
688200,华峰测控,stock,sh,
603127,昭衍新药,stock,sh,
688343,云天励飞,stock,sh,
600595,中孚实业,stock,sh,
688582,芯动联科,stock,sh,
688019,安集科技,stock,sh,
601187,厦门银行,stock,sh,
688050,爱博医疗,stock,sh,
600850,电科数字,stock,sh,
688575,亚辉龙,stock,sh,
600246,万通发展,stock,sh,
688327,云从科技,stock,sh,
600116,三峡水利,stock,sh,
601969,海南矿业,stock,sh,
601068,中铝国际,stock,sh,
600388,龙净环保,stock,sh,
600435,北方导航,stock,sh,
688709,成都华微,stock,sh,
688536,思瑞浦,stock,sh,
603638,艾迪精密,stock,sh,
601096,宏盛华源,stock,sh,
601595,上海电影,stock,sh,
600967,内蒙一机,stock,sh,
688789,宏华数科,stock,sh,
603766,隆鑫通用,stock,sh,
600323,瀚蓝环境,stock,sh,
688062,迈威生物,stock,sh,
688409,富创精密,stock,sh,
603355,莱克电气,stock,sh,
688548,广钢气体,stock,sh,
603305,旭升集团,stock,sh,
688006,杭可科技,stock,sh,
600623,华谊集团,stock,sh,
603393,新天然气,stock,sh,
600639,浦东金桥,stock,sh,
688088,虹软科技,stock,sh,
601222,林洋能源,stock,sh,
688608,恒玄科技,stock,sh,
688484,南芯科技,stock,sh,
600120,浙江东方,stock,sh,
601163,三角轮胎,stock,sh,
688029,南微医学,stock,sh,
600316,洪都航空,stock,sh,
600363,联创光电,stock,sh,
600395,盘江股份,stock,sh,
600167,联美控股,stock,sh,
603108,润达医疗,stock,sh,
603599,广信股份,stock,sh,
688717,艾罗能源,stock,sh,
603699,纽威股份,stock,sh,
600597,光明乳业,stock,sh,
600776,东方通信,stock,sh,
600133,东湖高新,stock,sh,
688352,颀中科技,stock,sh,
601126,四方股份,stock,sh,
600456,宝钛股份,stock,sh,
601827,三峰环境,stock,sh,
603515,欧普照明,stock,sh,
688408,中信博,stock,sh,
601033,永兴股份,stock,sh,
601083,锦江航运,stock,sh,
600428,中远海特,stock,sh,
688798,艾为电子,stock,sh,
600641,万业企业,stock,sh,
601718,际华集团,stock,sh,
688166,博瑞医药,stock,sh,
600717,天津港,stock,sh,
688432,有研硅,stock,sh,
688185,康希诺,stock,sh,
600572,康恩贝,stock,sh,
600557,康缘药业,stock,sh,
